EPCI 2017;libellé;année;patients ayant consommé au moins un remboursement de soins au régime agricole
200040715;Grenoble-Alpes-Métropole;2017;4426
200040764;CC du Sud Corse;2017;1304
200040772;CC du Perche et Haut Vendômois;2017;1164
200040798;CC Val Vanoise Tarentaise;2017;304
200040814;CC Briance Sud Haute Vienne;2017;1301
200040830;CC du Pays de Fénelon;2017;1412
200040889;CC de Portes Sud Périgord;2017;1510
200040905;CC Carmausin-Ségala;2017;2713
200040947;CC de Flandre Intérieure;2017;6797
200040954;CC des Hauts de Flandre;2017;3758
200041010;CC Coeur de Savoie;2017;2357
200041051;CC Vallée de la Dordogne et Forêt Bessède;2017;1046
200041150;CC du Terrassonnais en Périgord Noir Thenon Hautefort;2017;2187
200041168;CC de la Vallée de l'Homme;2017;1757
200041283;CC de la Plaine du Rhin;2017;531
200041317;CA du Niortais;2017;7184
200041325;CC du Pays Rhénan;2017;741
200041333;CC de Parthenay-Gâtine;2017;6433
200041366;CC Rhône Crussol;2017;1764
200041416;CC Airvaudais-Val du Thouet;2017;1346
200041440;CC de Domme - Villefranche du Périgord;2017;1475
200041465;CC Val Eyrieux;2017;1067
200041499;CC Aunis Atlantique;2017;2081
200041515;CC du Bassin de Pont-à-Mousson;2017;824
200041523;CC de la Haute-Saintonge;2017;13199
200041556;CC Portes de la Creuse en Marche;2017;1225
200041572;CC Dronne et Belle;2017;1285
200041614;CC Aunis Sud;2017;2683
200041622;CC Ardennes Thiérache;2017;1374
200041630;CA Ardenne Métropole;2017;2674
200041689;CC Vals de Saintonge;2017;8896
200041721;CC de la Haute Comté;2017;1260
200041762;CA Rochefort Océan;2017;2684
200041853;CC du Pays de Montbozon et du Chanois;2017;725
200041861;CC du Triangle Vert;2017;1053
200041879;CC Terres de Saône;2017;1075
200041887;CC du Val Marnaysien;2017;987
200041960;CC Pévèle-Carembault;2017;4530
200041994;CC Haut Val de Sèvre;2017;3541
200042000;CC Bruyères-Vallons des Vosges;2017;1098
200042174;CA Lorient;2017;7898
200042182;CC du Mont des Avaloirs;2017;2851
200042190;CA de la Porte du Hainaut;2017;3182
200042372;CC des Coteaux Arrats Gimone;2017;1711
200042414;CC Bresse Revermont 71;2017;1274
200042463;CC de la Montagne Noire;2017;597
200042497;CC Dombes Saône Vallée;2017;1344
200042604;CC de Granville, Terre et Mer;2017;2779
200042620;CC de Suippe et Vesle;2017;1366
200042646;CC Grand Orb en Languedoc;2017;1172
200042653;CC Sud-Hérault;2017;2812
200042703;CC de l'Argonne Champenoise;2017;2089
200042729;CC de la Baie du Cotentin;2017;3277
200042901;CC Drôme Sud Provence;2017;3201
200042935;CC Haut - Bugey;2017;1437
200042943;CC du Cap Corse;2017;266
200042992;CC Perthois-Bocage et Der;2017;663
200043016;CC Val de Charente;2017;1849
200043065;CC du Val d'Amboise;2017;1706
200043081;CC Chinon, Vienne et Loire;2017;1950
200043123;CC Auray Quiberon Terre Atlantique;2017;5644
200043156;CC du Pays Rethélois;2017;4189
200043172;CA du Bassin de Brive;2017;6250
200043263;CC Coeur de l'Avesnois;2017;2887
200043321;CC du Pays de Mormal;2017;2780
200043354;CC de Villedieu Intercom;2017;2637
200043396;CA Maubeuge Val de Sambre;2017;1960
200043404;CC du Sud Avesnois;2017;888
200043438;CC de la Moivre à la Coole;2017;1408
200043495;CA du Pays de Laon;2017;1962
200043602;CC des Albères et de la Côte Vermeille;2017;4586
200043628;CC des Vallées du Clain;2017;1616
200043693;CC Terre Lorraine du Longuyonnais;2017;625
200043776;CC Pyrénées Audoises;2017;1348
200043974;CC du Sud Gironde;2017;4652
200043982;CC du Bazadais;2017;2274
200043990;CC Vallons de Haute-Bretagne Communauté;2017;3347
200044014;CC Creuse Grand Sud;2017;1478
200044030;CC des Sept Vallées;2017;3417
200044048;CC Osartis Marquion;2017;2790
200044253;CC du Bassin de Joinville en Champagne;2017;1211
200044394;CC du Réolais en Sud Gironde;2017;3982
200044469;CC du Pays de Mirepoix;2017;955
200044618;CA du Douaisis (C.A.D.);2017;2571
200046977;Métropole de LYON;2017;13257
200048551;CC du Pays de Craon;2017;5739
200049187;CA du Grand Verdun;2017;1433
200049211;CC Conflent-Canigó;2017;2619
200049484;CC Berry Grand Sud;2017;2139
200054781;Métropole du Grand Paris;2017;32768
200054807;Métropole d'Aix-Marseille-Provence;2017;29590
200055481;CC Beauce Val de Loire;2017;2317
200055655;CA Roissy Pays de France;2017;2419
200055887;CC Mayenne Communauté;2017;4680
200056232;CA Communauté Paris-Saclay;2017;3044
200056380;CA Plaine Vallée;2017;1507
200057859;CA Coeur d'Essonne;2017;2013
200057958;CA Paris - Vallée de la Marne;2017;1535
200058360;CC Entre Beauce et Perche;2017;1468
200058477;CA Val d'Yerres Val de Seine;2017;1484
200058485;CA Val Parisis;2017;2324
